Written Name,Spoken Name,Appointment Length (Minutes),Keywords
"New Patient Exam & Cleaning (Adult, Age 13+)",New patient cleaning and checkup,90,"['new patient', 'first time', 'checkup', 'cleaning', 'exam and cleaning', 'never been', 'general cleaning', 'routine', 'annual', 'regular visit', 'new patient special', 'get established', 'first appointment', 'x-rays and cleaning']"
"New Patient Exam & Cleaning (Child, Age 4-12)",New patient child cleaning and checkup,70,"['my child', 'son', 'daughter', 'kid', 'pediatric cleaning', 'child checkup', 'child appointment', 'child dental', '8 years old', '4 years old', 'routine cleaning', ""children's exam"", 'elementary school', 'new patient child']"
"New Patient Exam (Infant/Toddler, Age 0-3)",Happy Visit,30,"['baby', 'infant', 'toddler', 'lap exam', 'first dental visit', 'happy visit', 'under 3', '2 years old', '1 year old', 'my little one', 'small child', 'mom and baby', 'introduce']"
"Returning Patient Exam & Cleaning (Adult, Age 13+)",Returning patient cleaning,60,"['recall', '6 month', 'returning', 'routine cleaning', 'follow-up cleaning', 'regular cleaning', 'checkup again', 'been here before', 'coming back', 'follow up cleaning']"
"Returning Patient Exam & Cleaning (Child, Age 4-12)",Returning child cleaning,50,"['my child again', 'returning child', 'child recall', 'kid follow-up', 'returning pediatric patient', 'routine checkup for child', 'child cleaning again', 'repeat cleaning', ""my kid's next appointment""]"
Limited Exam with X-rays (Problem-Focused),Focused exam with x-rays,40,"['toothache', 'pain', 'hurts', 'bothering me', 'broken tooth', 'cracked', 'chipped', 'infection', 'swelling', 'sore', 'abscess', 'emergency', 'sensitive', 'something wrong', 'tooth issue', 'jaw pain', 'gums bleeding', 'feels off', 'need to be seen', 'problem']"
Post-Op or Treatment Follow-Up (Recent Visit),Follow-up appointment,30,"['follow up', 'after my root canal', 'recheck', 'check healing', 'check crown', 'adjustment', 'recent visit', 'follow-up visit', 'check pain', 'bite feels off', 'after my extraction']"
Implant Consultation,Implant consult,40,"['dental implant', 'tooth replacement', 'missing tooth', 'replace tooth', 'implant evaluation', 'implant appointment', 'bone graft', 'screw in tooth', 'fake tooth', 'get an implant', 'permanent tooth replacement', 'I want an implant', 'lost a tooth', 'post for tooth']"
Cosmetic Consultation,Cosmetic consult,40,"['veneers', 'fix my smile', 'cosmetic', 'improve my teeth', 'makeover', 'straight white teeth', 'change how they look', 'too yellow', 'tooth shape', 'bonding', 'esthetic', 'Hollywood smile', 'brighten smile', 'fix chips', 'cosmetic dentistry', 'smile upgrade']"
Orthodontic Consultation,Orthodontic consult,40,"['Invisalign', 'braces', 'crooked teeth', 'overbite', 'underbite', 'alignment', 'teeth shifting', 'straighten teeth', 'ortho', 'fix spacing', 'crowded teeth', 'my bite is off', 'aligners', 'get Invisalign', 'gap in teeth', 'fix my bite']"
Full Mouth Reconstruction / All-on-X Consultation,Full mouth consult,60,"['all on x', 'all on four', 'full arch', 'denture replacement', 'teeth in a day', 'overdenture', 'implants for whole mouth', 'all on six', 'I need everything replaced', 'can't eat with dentures', 'replace all my teeth', 'full set', 'implant denture', 'snap-in teeth', 'anchor dentures']"
